,Area,Area Type,Car Parking,Flat Details,Floor Number,Furnished Status,Possession On,Posted By,Posted By Name,Posted Date,Price,Price/Sqft,Property Type
0,768 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Riverdale Heights, in Kharadi Pune ",9 out of 23 floors,Unfurnished,Possession by Jul '19,Certified Agent,Remax V21 Realty Plus Pune,"Mar 04, '18", 64.7 Lac,,New Property
1,341 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale VTP Bhagyasthan, in Talegaon Dabhade Pune ",5 out of 7 floors,Unfurnished,Possession by Mar '19,Certified Agent,Remax V21 Realty Plus Pune,"Feb 28, '18", 25 Lac,,New Property
2,801 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale V Uptown, in Ravet, Pimpri Chinchwad Pune ",5 out of 11 floors,Unfurnished,Possession by Dec '20,Certified Agent,Remax V21 Realty Plus Pune,"Mar 09, '18", 44 Lac,,New Property
3,613 sqft,carpet area,,"    2 BHK Flat  for sale NEA Pure Homes, in Baner road Pune ",3 out of 6 floors,Unfurnished,Possession by Dec '18,Certified Agent,Remax V21 Realty Plus Pune,"Mar 08, '18", 51 Lac,,New Property
4,772 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale VTP Urban Life, in Talegaon Dabhade Pune ",9 out of 12 floors,Unfurnished,Possession by Dec '18,Certified Agent,Remax V21 Realty Plus Pune,"Feb 28, '18", 35 Lac,,New Property
5,488 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale VTP Purvanchal , in Wagholi Pune ",9 out of 15 floors,Unfurnished,Possession by Sep '20,Certified Agent,Remax V21 Realty Plus Pune,"Mar 03, '18", 39.8 Lac,,New Property
6,786 sqft,carpet area,1 Covered,"    2 BHK Flat  , Balewadi Phata, Baner Pune ",5 out of 11 floors,Unfurnished,Possession by Jul '18,Certified Agent,Remax V21 Realty Plus Pune,"Feb 28, '18", 60 Lac,,New Property
7,745 sqft,super area,1 Covered,"    2 BHK Flat  for sale Urban Nest, in Undri Pune ",5 out of 12 floors,Unfurnished,Possession by Jun '19,Certified Agent,Remax V21 Realty Plus Pune,"Feb 28, '18", 58 Lac, 7785,New Property
8,840 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Godrej Infinity, in Keshav Nagar, Mundhwa Pune ",9 out of 22 floors,Unfurnished,Possession by Sep '19,Certified Agent,Remax V21 Realty Plus Pune,"Feb 14, '18", 75 Lac,,New Property
9,920 sqft,carpet area,1 Covered,"    2 BHK Flat  for sale Godrej 24, in Hinjewadi Pune ",10 out of 17 floors,Semi-Furnished,Possession by Sep '21,Certified Agent,Remax V21 Realty Plus Pune,"Feb 16, '18", 87 Lac,,New Property
