,Area,Area Type,Car Parking,Flat Details,Floor Number,Furnished Status,Possession On,Posted By,Posted By Name,Posted Date,Price,Price/Sqft,Property Type
0,55 sqm,super area,,"    2 BHK Apartment  for Sale in Atria Grande, Undri ",,Unfurnished,Possession by Dec '19,Builder,Atria Constructions,"Mar 06, '18", 42.5 Lac, 7179,New Property
1,56 sqm,carpet area,,"    2 BHK Apartment  for Sale in Atria Grande, Undri ",,Unfurnished,Possession by Dec '19,Builder,Atria Constructions,"Mar 06, '18", 41 Lac,,New Property
2,55 sqm,carpet area,,"    2 BHK Apartment  for Sale in Atria Grande, Undri ",,Unfurnished,Possession by Dec '19,Builder,Atria Constructions,"Mar 06, '18", 42.2 Lac,,New Property
3,55 sqm,carpet area,,"    2 BHK Apartment  for Sale in Atria Grande, Undri ",,Unfurnished,Possession by Dec '19,Builder,Atria Constructions,"Mar 06, '18", 42 Lac,,New Property
4,56 sqm,carpet area,,"    2 BHK Apartment  for Sale in Atria Grande, Undri ",,Unfurnished,Possession by Dec '19,Builder,Atria Constructions,"Mar 06, '18", 38.7 Lac,,New Property
5,1277 sqft,Carpet Area,,    Office Space  for Sale in Baner ,,,5 out of 10,Certified Agent,REMAX V21 REALTY PLUS PUNE,"Feb 20, '18", 1.21 Cr,,
6,1057 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 62.8 Lac,,New Property
7,1055 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 62.7 Lac,,New Property
8,727 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 43.2 Lac,,New Property
9,1054 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 62.7 Lac,,New Property
10,758 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 45.1 Lac,,New Property
11,750 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 44.6 Lac,,New Property
12,1076 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 63.9 Lac,,New Property
13,767 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 45.5 Lac,,New Property
14,1071 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 63.7 Lac,,New Property
15,1072 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 63.7 Lac,,New Property
16,1078 sqft,carpet area,1 Open,"    3 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 64.1 Lac,,New Property
17,707 sqft,carpet area,1 Open,"    2 BHK Apartment  for Sale in Paramount Smart City, Lohegaon ",8 out of 10 floors,Semi-Furnished,Possession by Jun '18,Builder,Amarnath Builders & Developer,"Mar 06, '18", 47.4 Lac,,New Property
