,BSE Buy QTY,BSE Open,BSE Prev Close,BSE Price,BSE Sell QTY,BSE Vol,BSE Vol 10,BSE Vol 30,BSE Vol 5,NSE Open,NSE Prev Close,NSE Price,NSE Vol,NSE Vol 10,NSE Vol 30,NSE Vol 5,Senti Buy,Senti Hold,Senti Recommend,Senti Sell,Stock Name,Stock Sector
0,77,18200.00,18020.35,18184.40,12,206,368,494,316,18188.00,18105.35,18182.15,659,"1,644","2,377","1,352",,,,,3M India Ltd.,DIVERSIFIED
1,1042,835.00,834.40,828.05,1439,"8,055","18,966","20,447","18,283",833.55,832.30,826.05,"78,445","124,751","143,819","123,127",,,,,8K Miles Software Services Ltd.,COMPUTERS - SOFTWARE
2,560,1115.95,1115.60,1111.25,1562,"2,814","7,055","12,919","4,969",1105.00,1112.85,1126.35,"21,710","35,152","101,130","21,536",100%,,,,Aarti Industries Ltd.,CHEMICALS
3,11.42 K,234.65,232.70,230.10,25.38 K,"562,454","1,702,909","779,835","1,206,205",234.10,232.90,230.05,"2,444,981","9,148,094","4,010,090","5,510,765",100%,,,100%,Aban Offshore Ltd.,OIL DRILLING AND EXPLORATION
4,3511,1535.00,1541.05,1580.35,1366,"10,074","42,533","31,461","41,196",1540.55,1541.90,1585.85,"105,094","133,462","85,736","183,708",,,,,ABB India Ltd.,INFRASTRUCTURE - GENERAL
5,122,5435.00,5432.40,5466.30,101,101,410,403,310,5401.05,5435.70,5488.10,"1,699","7,430","4,505","6,599",,,,,Abbott India Ltd.,PHARMACEUTICALS
6,6045,1835.10,1837.55,1822.70,769,"4,803","33,953","32,842","34,984",1828.25,1839.00,1829.50,"267,132","286,650","328,612","351,995",,,,,ACC Ltd.,CEMENT - MAJOR
7,5624,195.00,194.70,199.40,6276,"1,510,433","1,055,201","949,167","1,149,908",195.25,195.25,199.70,"14,032,888","7,997,495","8,139,568","7,647,484",40%,,,60%,Adani Enterprises Ltd.,TRADING
8,4489,417.95,414.35,433.75,3198,"451,755","335,431","278,050","303,129",418.80,416.25,433.45,"7,588,904","4,208,408","4,127,530","4,401,770",43%,14%,43% buying,43%,Adani Ports and Special Economic Zone Ltd.,INFRASTRUCTURE - GENERAL
9,33.03 K,37.00,36.95,38.00,46.84 K,"2,307,760","3,304,569","2,658,490","3,630,687",36.70,36.95,38.05,"15,908,701","21,687,022","21,200,693","21,739,308",67%,16%,67% buying,17%,Adani Power Ltd.,POWER - GENERATION & DISTRIBUTION
