,BSE Buy QTY,BSE Open,BSE Prev Close,BSE Price,BSE Sell QTY,BSE Vol,BSE Vol 10,BSE Vol 30,BSE Vol 5,NSE Open,NSE Prev Close,NSE Price,NSE Vol,NSE Vol 10,NSE Vol 30,NSE Vol 5,Senti Buy,Senti Hold,Senti Recommend,Senti Sell,Stock Name,Stock Sector
0,656,18250.00,18184.40,18187.25,148,46,360,490,299,18139.00,18182.15,18249.00,944,"1,623","2,310","1,054",,,,,3M India Ltd.,DIVERSIFIED
1,6437,825.00,828.05,791.00,18.05 K,"70,673","17,911","18,521","15,208",830.70,826.05,788.80,"1,411,725","120,144","135,789","112,768",69%,16%,69% buying,15%,8K Miles Software Services Ltd.,COMPUTERS - SOFTWARE
2,7491,1125.00,1111.25,1127.50,6431,"1,162","6,062","12,996","4,165",1120.05,1126.35,1129.95,"8,618","29,583","101,554","21,589",100%,,,,Aarti Industries Ltd.,CHEMICALS
3,53.98 K,230.10,230.10,231.95,84.53 K,"350,645","1,681,563","795,036","957,527",230.40,230.05,231.55,"1,414,564","8,999,647","4,077,411","3,965,630",100%,,,,Aban Offshore Ltd.,OIL DRILLING AND EXPLORATION
4,5540,1583.00,1580.35,1578.00,6783,"6,010","37,894","31,712","22,870",1595.00,1585.85,1577.95,"40,620","134,056","88,129","143,091",87%,,,13%,ABB India Ltd.,INFRASTRUCTURE - GENERAL
5,909,5499.05,5466.30,5515.00,271,51,357,381,278,5380.00,5488.10,5530.70,"1,059","7,387","4,379","5,848",,,,,Abbott India Ltd.,PHARMACEUTICALS
6,43.05 K,1845.00,1822.70,1815.20,43.32 K,"428,025","33,596","32,526","34,644",1816.50,1829.50,1816.50,"93,619","282,114","331,996","367,058",100%,,,,ACC Ltd.,CEMENT - MAJOR
7,2.45 L,199.00,199.40,197.50,2.64 L,"515,682","1,083,707","975,737","1,315,788",198.00,199.70,197.60,"3,444,340","8,248,608","8,495,778","9,410,273",64%,,,36%,Adani Enterprises Ltd.,TRADING
8,1.34 L,435.00,433.75,433.90,1.59 L,"335,241","310,123","242,975","360,635",434.00,433.45,433.65,"5,133,388","4,422,477","4,149,354","5,403,254",63%,8%,63% buying,29%,Adani Ports and Special Economic Zone Ltd.,INFRASTRUCTURE - GENERAL
9,11.3 L,38.70,38.00,36.95,12.33 L,"1,474,114","3,055,908","2,680,401","3,443,281",38.10,38.05,37.00,"12,652,025","18,511,588","21,145,994","21,615,288",53%,4%,53% buying,43%,Adani Power Ltd.,POWER - GENERATION & DISTRIBUTION
