,BSE Buy QTY,BSE Open,BSE Prev Close,BSE Price,BSE Sell QTY,BSE Vol,BSE Vol 10,BSE Vol 30,BSE Vol 5,NSE Open,NSE Prev Close,NSE Price,NSE Vol,NSE Vol 10,NSE Vol 30,NSE Vol 5,Senti Buy,Senti Hold,Senti Recommend,Senti Sell,Stock Name,Stock Sector
0,,,,,,,,,,,,,,,,,,,,,,
1,-,4.88,5.13,4.88,3373,279,"1,921","4,107","1,198",,,,,,,,,,,,A F Enterprises Ltd.,MISCELLANEOUS
2,457,55.00,55.00,55.00,-,6,0,0,0,,,,,,,,,,,,A Infrastructure Ltd.,CEMENT - PRODUCTS & BUILDING MATERIALS
3,,,,,,,,,,,,,,,,,,,,,A K S Credits Ltd.,FINANCE - LEASING & HIRE PURCHASE
4,1,49.75,47.50,45.45,38,129,189,147,239,,,,,,,,,,,,A K Spintex Ltd.,MISCELLANEOUS
5,,,,,,,,,,,,,,,,,,,,,A P T Yarns Ltd.,TEXTILES - SPINNING - COTTON BLENDED
6,583,565.00,563.90,567.25,1060,"1,971","8,227","4,507","5,937",,,,,,,,20%,,,80%,A.K.Capital Services Ltd.,FINANCE - GENERAL
7,53.76 K,40.55,40.15,40.80,20.79 K,"280,919","547,685","728,892","522,811",40.50,40.05,40.85,"1,059,686","2,126,002","2,632,182","2,143,967",100%,,,,A2Z Infra Engineering  Ltd.,POWER - TRANSMISSION & EQUIPMENT
8,,,,,,,,,,,,,,,,,,,,,Aachal Alloys Ltd.,STEEL - MEDIUM & SMALL
9,-,0.59,0.59,0.59,56.81 K,"8,101","119,625","622,310","147,141",,,,,,,,100%,,,,Aadhaar Ventures India Ltd.,FINANCE - GENERAL
10,,,,,,,,,,,,,,,,,,,,,Aadi Industries Ltd.,PLASTICS
11,,,,,,,,,,,,,,,,,,,,,Aagam Capital Ltd.,FINANCE - LEASING & HIRE PURCHASE
12,,,,,,,,,,,,,,,,,,,,,Aakar Engineering and Manufacturing Company Ltd.,ENGINEERING
13,100,50.00,52.00,50.00,250,100,641,274,421,,,,,,,,,,,,Aamcol Tools Ltd.,MACHINE TOOLS
14,196,3.47,3.65,3.47,-,52,"1,426",695,"2,092",,,,,,,,,,,,Aananda Lakshmi Spinning Mills Ltd.,TEXTILES - SPINNING - COTTON BLENDED
15,1621,19.50,19.45,18.80,8241,"28,570",0,0,0,,,,,,,,33%,,,,Aanchal Ispat Ltd.,STEEL - SPONGE IRON
16,,,,,,,,,,,,,,,,,,,,,Aankit Granites Ltd.,CERAMICS & GRANITE
17,,,,,,,,,,,,,,,,,,,,,AAR COMMERCIAL COMPANY  Ltd.,TEXTILES - GENERAL
18,7351,57.00,56.40,57.15,1532,"22,129","61,215","93,971","51,409",,,,,,,,100%,,,,Aarey Drugs and Pharmaceuticals Ltd.,PHARMACEUTICALS
19,308,700.90,698.90,712.70,2241,"2,970","10,944","7,827","6,670",703.00,698.00,715.60,"17,560","68,261","49,091","33,280",100%,,,,Aarti Drugs Ltd.,PHARMACEUTICALS
20,1133,1125.00,1111.25,1135.90,1403,"2,626","6,062","12,996","4,165",1120.05,1126.35,1135.40,"16,035","29,583","101,554","21,589",100%,,,,Aarti Industries Ltd.,CHEMICALS
21,-,2.25,2.25,2.25,-,0,0,0,0,,,,,,,,,,,,AARV Infratel Ltd.,TEXTILES - MANMADE
22,3558,55.00,54.70,53.70,3376,"17,836","57,691","31,113","106,717",56.70,54.85,53.40,"50,285","168,833","105,814","303,653",100%,,,,Aarvee Denim and Exports Ltd.,TEXTILES - DENIM
23,,,,,,,,,,99.05,101.50,99.00,"4,000","9,600","10,333","8,800",,,,,Aarvi Encon Ltd.,DIVERSIFIED
24,,,,,,,,,,,,,,,,,,,,,Aarya Global Shares and Securities Ltd.,TEXTILES - WOOLLEN & WORSTED
25,,,,,,,,,,,,,,,,,,,,,Aashee Infotech Ltd.,VANASPATI & OILS
26,,,,,,,,,,,,,,,,,,,,,Aasheesh Securities Ltd.,FINANCE - INVESTMENTS
27,,,,,,,,,,,,,,,,,,,,,Aaswa Trading and Exports Ltd.,TRADING
28,476,65.00,61.95,65.00,-,"7,234","6,949","8,993","6,833",,,,,,,,100%,,,,Aayush Food and Herbs Ltd.,PHARMACEUTICALS
29,56.88 K,176.05,176.95,178.35,60.72 K,"433,369","555,058","513,625","454,084",177.70,177.05,178.40,"2,018,025","3,543,091","2,989,985","2,723,854",78%,9%,78% buying,13%,Aditya Birla Capital Ltd.,MISCELLANEOUS
30,,,,,,,,,,,,,,,,,,,,,,
31,5087,87.75,88.05,87.35,4216,"45,066","79,862","180,160","64,858",88.60,87.75,86.70,"144,531","306,687","746,130","225,120",50%,25%,50% buying,25%,Aditya Birla Money Ltd.,FINANCE - GENERAL
32,,,,,,,,,,,,,,,,,,,,,Aditya Birla Nuvo Ltd.,DIVERSIFIED
33,,,,,,,,,,,,,,,,,,,,,Abacus Computers Ltd.,COMPUTERS - SOFTWARE MEDIUM & SMALL
34,22.2 K,230.10,230.10,231.15,15.27 K,"456,813","1,681,563","795,036","957,527",230.40,230.05,231.25,"1,840,596","8,999,647","4,077,411","3,965,630",90%,5%,90% buying,5%,Aban Offshore Ltd.,OIL DRILLING AND EXPLORATION
35,,,,,,,,,,,,,,,,,,,,,ABans Enterprises Ltd.,TRADING
36,760,1583.00,1580.35,1597.60,2098,"11,934","37,894","31,712","22,870",1595.00,1585.85,1602.30,"79,849","134,056","88,129","143,091",92%,,,8%,ABB India Ltd.,INFRASTRUCTURE - GENERAL
37,187,5499.05,5466.30,5504.25,214,93,357,381,278,5380.00,5488.10,5536.90,"1,660","7,387","4,379","5,848",100%,,,,Abbott India Ltd.,PHARMACEUTICALS
38,1434,515.50,530.75,524.90,489,"1,249","5,148","3,851","5,702",,,,,,,,,,,,ABC Bearings Ltd.,BEARINGS
39,-,23.65,23.65,23.65,50,50,175,173,290,,,,,,,,,,,,ABC Gas International Ltd.,METALS - NON FERROUS
40,413,97.05,101.00,101.10,385,"2,950","2,554","2,232","2,708",,,,,,,,,,,,ABC India Ltd.,TRANSPORT & LOGISTICS
41,,,,,,,,,,,,,,,,,100%,,,,Abco Plastics Ltd.,PLASTICS
42,,,,,,,,,,,,,,,,,,,,,Abee Printer Ribbons Ltd.,COMPUTERS - HARDWARE
43,2520,12.64,12.64,12.61,200,"19,144","35,133","33,852","25,961",12.60,12.85,12.60,"9,318","24,199","26,595","16,231",56%,,,44%,ABG Shipyard Ltd.,SHIPPING
44,,,,,,,,,,,,,,,,,,,,,Abhijit Trading Company Ltd.,MISCELLANEOUS
45,-,73.00,73.00,73.00,111,4,"2,074","1,852","1,150",,,,,,,,,,,,Abhinav Capital Services Ltd.,FINANCE - GENERAL
46,-,1.52,1.59,1.52,100,"1,000",860,572,"1,240",,,,,,,,,,,,Abhinav Leasing & Finance Ltd.,FINANCE - LEASING & HIRE PURCHASE
47,10,4.10,4.30,4.10,883,567,"2,706","3,990","2,773",,,,,,,,,,,,Abhishek Corporation Ltd.,TEXTILES - SPINNING - COTTON BLENDED
48,67,9.45,9.10,9.15,-,"1,900",410,634,440,,,,,,,,,,,,Abhishek Finlease Ltd.,FINANCE - LEASING & HIRE PURCHASE
49,4110,4.61,4.53,4.68,3171,"3,860",0,0,0,,,,,,,,,,,,Abhishek Infraventures Ltd.,INFRASTRUCTURE - GENERAL
50,-,8.12,8.54,8.12,889,425,394,250,710,,,,,,,,,,,,Abirami Financial Services (India) Ltd.,FINANCE - LEASING & HIRE PURCHASE
51,,,,,,,,,,,,,,,,,,,,,ABL Biotechnologies  Ltd.,PHARMACEUTICALS
52,,,,,,,,,,61.80,61.80,58.75,467,839,562,"1,371",,,,,ABM International Ltd.,MISCELLANEOUS
53,2993,115.55,117.60,116.20,2708,"5,679","34,173","20,131","57,346",,,,,,,,,,,,ABM Knowledgeware Ltd.,COMPUTERS - SOFTWARE MEDIUM & SMALL
54,,,,,,,,,,,,,,,,,,,,,ABN Granites Ltd.,CERAMICS & GRANITE
55,,,,,,,,,,,,,,,,,,,,,Abner Pharma Ltd.,PHARMACEUTICALS
56,12.59 K,1845.00,1822.70,1829.10,771,"435,003","33,596","32,526","34,644",1816.50,1829.50,1827.20,"236,750","282,114","331,996","367,058",100%,,,,ACC Ltd.,CEMENT - MAJOR
57,934,64.55,63.05,64.90,1861,"4,728","18,150","27,639","8,006",61.35,63.00,63.95,"34,833","26,632","20,512","18,936",100%,,,,Accel Frontline Ltd.,COMPUTERS - SOFTWARE MEDIUM & SMALL
58,-,2.66,2.66,2.66,-,300,655,"1,258",446,,,,,,,,,,,,Accel Transmatic Ltd.,COMPUTERS - HARDWARE
59,519,1498.15,1461.25,1464.25,319,455,"1,152",821,"2,027",1488.00,1454.30,1458.70,"2,365","7,096","4,477","12,047",,,,,Accelya Kale Solutions Ltd.,COMPUTERS - SOFTWARE MEDIUM & SMALL
60,,,,,,,,,,,,,,,,,,,,,Accentia Technologies Ltd.,COMPUTERS - SOFTWARE MEDIUM & SMALL
61,,,,,,,,,,,,,,,,,,,,,Acclaim Industries Ltd.,PACKAGING
62,,,,,,,,,,,,,,,,,,,,,Accord Synergy Ltd.,TELECOMMUNICATIONS - SERVICE
63,,,,,,,,,,,,,,,,,,,,,Accurate Exports Ltd.,TRADING
64,,,,,,,,,,,,,,,,,,,,,Accurate Transformers Ltd.,ELECTRIC EQUIPMENT
65,-,2.30,2.35,2.30,9400,"1,100","8,247","5,103","6,044",,,,,,,,,,,,ACE Edutrend Ltd.,DIVERSIFIED
66,,,,,,,,,,43.55,43.50,43.50,"33,000","21,300","16,500","7,800",,,,,ACE Integrated Solutions Ltd.,MISCELLANEOUS
67,,,,,,,,,,,,,,,,,,,,,Ace Laboratories Ltd.,PHARMACEUTICALS
68,-,21.50,21.50,21.50,144,6,11,63,17,,,,,,,,,,,,Ace Men Engg Works Ltd.,TRADING
69,24,24.50,25.05,23.80,9,"3,100","1,559","1,253","1,073",,,,,,,,,,,,Ace Software Exports Ltd.,COMPUTERS - SOFTWARE MEDIUM & SMALL
70,,,,,,,,,,,,,,,,,,,,,Ace Software Ltd.,COMPUTERS - SOFTWARE MEDIUM & SMALL
71,,,,,,,,,,,,,,,,,,,,,Ace Stonecraft Ltd.,CERAMICS & GRANITE
72,,,,,,,,,,,,,,,,,,,,,Ace Tours Worldwide Ltd.,MISCELLANEOUS
73,-,3.60,3.67,3.60,3.34 L,"102,000","115,790","77,183","103,007",,,,,,,,100%,,,,Achal Investments Ltd.,FINANCE - INVESTMENTS
